Code	ISO number	ISO formal name	Directionality	Unicode Alias[f]	Version	Characters	Notes	Description
Kits	288	Khitan small script	vertical right-to-left 	Khitan Small Script	13.0	471	Ancient/historic	Ch 18.12
Knda	345	Kannada	left-to-right 	Kannada	1.0	91		Ch 12.8
Kore	287	Korean (alias for Hangul + Han)	left-to-right	— See § Hani, § Hang
Kpel	436	Kpelle	left-to-right	— Not in Unicode, proposal is explored[i]
Kthi	317	Kaithi	left-to-right 	Kaithi	5.2	68	Ancient/historic	Ch 15.2
Lana	351	Tai Tham (Lanna)	left-to-right 	Tai Tham	5.2	127		Ch 16.7
Laoo	356	Lao	left-to-right 	Lao	1.0	83		Ch 16.2
Latf	217	Latin (Fraktur variant)	varies	— Typographic variant of Latin (see § Latn)
Latg	216	Latin (Gaelic variant)	left-to-right	— Typographic variant of Latin (see § Latn)
Latn	215	Latin	left-to-right 	Latin	1.0	1,481	See also: Latin script in Unicode	Ch 7.1
Leke	364	Leke	left-to-right	— Not in Unicode
Lepc	335	Lepcha (Róng)	left-to-right 	Lepcha	5.1	74		Ch 13.12
Limb	336	Limbu	left-to-right 	Limbu	4.0	68		Ch 13.6
Lina	400	Linear A	left-to-right 	Linear A	7.0	341	Ancient/historic	Ch 8.1
Linb	401	Linear B	left-to-right 	Linear B	4.0	211	Ancient/historic	Ch 8.2
Lisu	399	Lisu (Fraser)	left-to-right 	Lisu	5.2	49		Ch 18.9
Loma	437	Loma	left-to-right	— Not in Unicode, proposal is explored[i]
Lyci	202	Lycian	left-to-right 	Lycian	5.1	29	Ancient/historic	Ch 8.5
Lydi	116	Lydian	right-to-left script 	Lydian	5.1	27	Ancient/historic	Ch 8.5
Mahj	314	Mahajani	left-to-right 	Mahajani	7.0	39	Ancient/historic	Ch 15.6
Maka	366	Makasar	left-to-right 	Makasar	11.0	25	Ancient/historic	Ch 17.8
Mand	140	Mandaic, Mandaean	right-to-left script 	Mandaic	6.0	29		Ch 9.5
Mani	139	Manichaean	right-to-left script 	Manichaean	7.0	51	Ancient/historic	Ch 10.5
Marc	332	Marchen	left-to-right 	Marchen	9.0	68	Ancient/historic	Ch 14.5
Maya	090	Mayan hieroglyphs	mixed	— Not in Unicode
Medf	265	Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)	left-to-right 	Medefaidrin	11.0	91		Ch 19.10
Mend	438	Mende Kikakui	right-to-left script 	Mende Kikakui	7.0	213		Ch 19.8
Merc	101	Meroitic Cursive	right-to-left script 	Meroitic Cursive	6.1	90	Ancient/historic	Ch 11.5
Mero	100	Meroitic Hieroglyphs	right-to-left script 	Meroitic Hieroglyphs	6.1	32	Ancient/historic	Ch 11.5
Mlym	347	Malayalam	left-to-right 	Malayalam	1.0	118		Ch 12.9
Modi	324	Modi, Moḍī	left-to-right 	Modi	7.0	79	Ancient/historic	Ch 15.12
Mong	145	Mongolian	vertical left-to-right, left-to-right 	Mongolian	3.0	168	Mong includes Clear and Manchu scripts	Ch 13.5
Moon	218	Moon (Moon code, Moon script, Moon type)	mixed	— Not in Unicode, proposal is explored[i]
Mroo	264	Mro, Mru	left-to-right 	Mro	7.0	43		Ch 13.8
Mtei	337	Meitei Mayek (Meithei, Meetei)	left-to-right 	Meetei Mayek	5.2	79		Ch 13.7
Mult	323	Multani	left-to-right 	Multani	8.0	38	Ancient/historic	Ch 15.10
Mymr	350	Myanmar (Burmese)	left-to-right 	Myanmar	3.0	223		Ch 16.3
Nagm	295	Nag Mundari	left-to-right 	Nag Mundari	15.0	42
Nand	311	Nandinagari	left-to-right 	Nandinagari	12.0	65	Ancient/historic	Ch 15.13
Narb	106	Old North Arabian (Ancient North Arabian)	right-to-left script 	Old North Arabian	7.0	32	Ancient/historic	Ch 10.1
Nbat	159	Nabataean	right-to-left script 	Nabataean	7.0	40	Ancient/historic	Ch 10.10
Newa	333	Newa, Newar, Newari, Nepāla lipi	left-to-right 	Newa	9.0	97		Ch 13.3
Nkdb	085	Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)	left-to-right	— Not in Unicode
Nkgb	420	Nakhi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)	left-to-right	— Not in Unicode, proposal is explored[i]
Nkoo	165	N’Ko	right-to-left script 	NKo	5.0	62		Ch 19.4
Nshu	499	Nüshu	vertical right-to-left 	Nushu	10.0	397		Ch 18.8
Ogam	212	Ogham	bottom-to-top, left-to-right 	Ogham	3.0	29	Ancient/historic	Ch 8.14
Olck	261	Ol Chiki (Ol Cemet’, Ol, Santali)	left-to-right 	Ol Chiki	5.1	48		Ch 13.10
Orkh	175	Old Turkic, Orkhon Runic	right-to-left script 	Old Turkic	5.2	73	Ancient/historic	Ch 14.8
Orya	327	Oriya (Odia)	left-to-right 	Oriya	1.0	91		Ch 12.5
Osge	219	Osage	left-to-right 	Osage	9.0	72		Ch 20.3
Osma	260	Osmanya	left-to-right 	Osmanya	4.0	40		Ch 19.2
Ougr	143	Old Uyghur	mixed	Old Uyghur	14.0	26	Ancient/historic	Ch 14.11
Palm	126	Palmyrene	right-to-left script 	Palmyrene	7.0	32	Ancient/historic	Ch 10.11
Pauc	263	Pau Cin Hau	left-to-right 	Pau Cin Hau	7.0	57		Ch 16.13
Pcun	015	Proto-Cuneiform	left-to-right	— Not in Unicode
Pelm	016	Proto-Elamite	left-to-right	— Not in Unicode
Perm	227	Old Permic	left-to-right 	Old Permic	7.0	43	Ancient/historic	Ch 8.13
Phag	331	Phags-pa	vertical left-to-right 	Phags-pa	5.0	56	Ancient/historic	Ch 14.4
Phli	131	Inscriptional Pahlavi	right-to-left script 	Inscriptional Pahlavi	5.2	27	Ancient/historic	Ch 10.6
Phlp	132	Psalter Pahlavi	right-to-left script 	Psalter Pahlavi	7.0	29	Ancient/historic	Ch 10.6
Phlv	133	Book Pahlavi	mixed	— Not in Unicode
Phnx	115	Phoenician	right-to-left script 	Phoenician	5.0	29	Ancient/historic[g]	Ch 10.3
Piqd	293	Klingon (KLI pIqaD)	left-to-right 	— Rejected for inclusion in Unicode[ii][iii]
Plrd	282	Miao (Pollard)	left-to-right 	Miao	6.1	149		Ch 18.10
Prti	130	Inscriptional Parthian	right-to-left script 	Inscriptional Parthian	5.2	30	Ancient/historic	Ch 10.6
Psin	103	Proto-Sinaitic	mixed	— Not in Unicode
Qaaa-Qabx	900-949	Reserved for private use (range)		— Not in Unicode
Ranj	303	Ranjana	left-to-right	— Not in Unicode
Rjng	363	Rejang (Redjang, Kaganga)	left-to-right 	Rejang	5.1	37		Ch 17.5
Rohg	167	Hanifi Rohingya	right-to-left script 	Hanifi Rohingya	11.0	50		Ch 16.14
Roro	620	Rongorongo	mixed	— Not in Unicode, proposal is explored[i]
Runr	211	Runic	left-to-right, boustrophedon 	Runic	3.0	86	Ancient/historic	Ch 8.7
Samr	123	Samaritan	right-to-left script, top-to-bottom 	Samaritan	5.2	61		Ch 9.4
Sara	292	Sarati	mixed	— Not in Unicode
Sarb	105	Old South Arabian	right-to-left script 	Old South Arabian	5.2	32	Ancient/historic	Ch 10.2
Saur	344	Saurashtra	left-to-right 	Saurashtra	5.1	82		Ch 13.13
Sgnw	095	SignWriting	vertical left-to-right 	SignWriting	8.0	672		Ch 21.7
Shaw	281	Shavian (Shaw)	left-to-right 	Shavian	4.0	48		Ch 8.15
Shrd	319	Sharada, Śāradā	left-to-right 	Sharada	6.1	96		Ch 15.3
Shui	530	Shuishu	left-to-right	— Not in Unicode
Sidd	302	Siddham, Siddhaṃ, Siddhamātṛkā	left-to-right 	Siddham	7.0	92	Ancient/historic	Ch 15.5
Sind	318	Khudawadi, Sindhi	left-to-right 	Khudawadi	7.0	69		Ch 15.9
Sinh	348	Sinhala	left-to-right 	Sinhala	3.0	111		Ch 13.2
Sogd	141	Sogdian	horizontal and vertical writing in East Asian scripts, top-to-bottom 	Sogdian	11.0	42	Ancient/historic	Ch 14.10
Sogo	142	Old Sogdian	right-to-left script 	Old Sogdian	11.0	40	Ancient/historic	Ch 14.9
Sora	398	Sora Sompeng	left-to-right 	Sora Sompeng	6.1	35		Ch 15.17
Soyo	329	Soyombo	left-to-right 	Soyombo	10.0	83	Ancient/historic	Ch 14.7
Sund	362	Sundanese	left-to-right 	Sundanese	5.1	72		Ch 17.7
Sunu	274	Sunuwar	left-to-right	— Not in Unicode
Sylo	316	Syloti Nagri	left-to-right 	Syloti Nagri	4.1	45	Ancient/historic	Ch 15.1
Syrc	135	Syriac	right-to-left script 	Syriac	3.0	88	Includes typographic variants Estrangelo (see § Syre), Western (§ Syrj), and Eastern (§ Syrn)	Ch 9.3
Syre	138	Syriac (Estrangelo variant)	mixed	— Typographic variant of Syriac (see § Syrc)
Syrj	137	Syriac (Western variant)	mixed	— Typographic variant of Syriac (see § Syrc)
Syrn	136	Syriac (Eastern variant)	mixed	— Typographic variant of Syriac (see § Syrc)
Tagb	373	Tagbanwa	left-to-right 	Tagbanwa	3.2	18		Ch 17.1
Takr	321	Takri, Ṭākrī, Ṭāṅkrī	left-to-right 	Takri	6.1	68		Ch 15.4
Tale	353	Tai Le	left-to-right 	Tai Le	4.0	35		Ch 16.5
Talu	354	New Tai Lue	left-to-right 	New Tai Lue	4.1	83		Ch 16.6
Taml	346	Tamil	left-to-right 	Tamil	1.0	123		Ch 12.6
Tang	520	Tangut	vertical right-to-left, left-to-right 	Tangut	9.0	6,914	Ancient/historic	Ch 18.11
Tavt	359	Tai Viet	left-to-right 	Tai Viet	5.2	72		Ch 16.8
Telu	340	Telugu	left-to-right 	Telugu	1.0	100		Ch 12.7
Teng	290	Tengwar	left-to-right	— Not in Unicode
Tfng	120	Tifinagh (Berber)	left-to-right 	Tifinagh	4.1	59		Ch 19.3
Tglg	370	Tagalog (Baybayin, Alibata)	left-to-right 	Tagalog	3.2	23		Ch 17.1
Thaa	170	Thaana	right-to-left script 	Thaana	3.0	50		Ch 13.1
Thai	352	Thai	left-to-right 	Thai	1.0	86		Ch 16.1
Tibt	330	Tibetan	left-to-right 	Tibetan	2.0	207	Added in 1.0, removed in 1.1 and reintroduced in 2.0	Ch 13.4
Tirh	326	Tirhuta	left-to-right 	Tirhuta	7.0	82		Ch 15.11
Tnsa	275	Tangsa	left-to-right	Tangsa	14.0	89		Ch 13.18
Toto	294	Toto	left-to-right	Toto	14.0	31		Ch 13.17
Ugar	040	Ugaritic	left-to-right 	Ugaritic	4.0	31	Ancient/historic	Ch 11.2
Vaii	470	Vai	left-to-right 	Vai	5.1	300		Ch 19.5
Visp	280	Visible Speech	left-to-right	— Not in Unicode
Vith	228	Vithkuqi	left-to-right	Vithkuqi	14.0	70	Ancient/historic	Ch 8.12
Wara	262	Warang Citi (Varang Kshiti)	left-to-right 	Warang Citi	7.0	84		Ch 13.9
Wcho	283	Wancho	left-to-right 	Wancho	12.0	59		Ch 13.16
Wole	480	Woleai	mixed	— Not in Unicode, proposal is explored[i]
Xpeo	030	Old Persian	left-to-right 	Old Persian	4.1	50	Ancient/historic	Ch 11.3
Xsux	020	Cuneiform, Sumero-Akkadian	left-to-right 	Cuneiform	5.0	1,234	Ancient/historic	Ch 11.1
Yezi	192	Yezidi	right-to-left script 	Yezidi	13.0	47	Ancient/historic	Ch 9.6
Yiii	460	Yi	left-to-right 	Yi	3.0	1,220		Ch 18.7
Zanb	339	Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)	left-to-right 	Zanabazar Square	10.0	72	Ancient/historic	Ch 14.6
Zinh	994	Code for inherited script		Inherited		657
Zmth	995	Mathematical notation		— Not a 'script' in Unicode
Zsym	996	Symbols		— Not a 'script' in Unicode
Zsye	993	Symbols (emoji variant)		— Not a 'script' in Unicode
Zxxx	997	Code for unwritten documents		— Not a 'script' in Unicode
Zyyy	998	Code for undetermined script		Common		8,301
Zzzz	999	Code for uncoded script		Unknown		964,861	In Unicode: All other code points
